documentation_status,num_tags,pct_of_tags,total_questions,pct_of_questions,avg_questions_per_tag,median_questions,p90_questions,max_questions
Both (excerpt + wiki),44966,70.64,67692688,99.05,1505.0,74.0,1250.0,2426650
No documentation,18687,29.36,648747,0.95,35.0,14.0,81.0,3942
