Waiting on bqjob_r3e8e87f9e610d381_0000019c15bc15cf_1 ... (0s) Current status: RUNNING                                                                                      Waiting on bqjob_r3e8e87f9e610d381_0000019c15bc15cf_1 ... (0s) Current status: DONE   
tag,total_answers,total_score,total_positive_score,avg_score,median_score,p90_score,p99_score,pct_positive,pct_high_score_10plus,positive_answers,zero_answers,negative_answers,roi_rank
linker,1260,3353,3379,2.661,1,6,30,64.68,5.71,815,428,17,407
tomcat,10005,26611,26896,2.66,1,5,34,55.12,5.11,5515,4304,186,408
data-binding,1487,3954,3975,2.659,1,5,32,59.92,4.84,891,578,18,409
leaflet,2040,5400,5440,2.647,1,5,31,61.27,4.71,1250,762,28,410
xpath,7377,19500,19621,2.643,1,4,36,58.78,3.9,4336,2944,97,411
indexing,2526,6669,6722,2.64,1,4,34,60.81,3.88,1536,956,34,412
linux-kernel,4435,11705,11809,2.639,1,6,32,64.83,4.8,2875,1492,68,413
sdk,1152,3038,3061,2.637,0,4,40,50.0,4.34,576,557,19,415
core-data,2703,7129,7179,2.637,1,5,39,55.68,5.25,1505,1161,37,414
arrays,106741,280783,283610,2.631,1,4,29,61.66,3.5,65815,38877,2049,416
dynamic,2235,5875,5949,2.629,1,5,33,55.93,5.19,1250,935,50,417
apache,45290,118888,120060,2.625,1,4,37,52.61,4.3,23825,20649,816,418
events,4894,12846,12939,2.625,1,5,33,60.28,4.45,2950,1877,67,419
nestjs,1512,3962,4022,2.62,1,6,30,56.15,5.49,849,620,43,420
boost,1835,4806,4830,2.619,1,5,31,66.81,4.47,1226,586,23,421
log4j,1278,3347,3382,2.619,1,5,35,55.4,4.69,708,551,19,422
date,7731,20244,20386,2.619,1,4,33,57.69,3.88,4460,3168,103,423
airflow,3272,8562,8663,2.617,1,6,32,60.12,5.56,1967,1245,60,424
firebase,37707,98612,99602,2.615,1,5,33,60.77,4.86,22913,14173,621,425
asp.net-mvc-4,8312,21733,21903,2.615,1,5,34,53.12,5.08,4415,3780,117,426
ftp,1998,5212,5289,2.609,1,5,36,55.26,4.4,1104,838,56,427
firefox,9521,24831,25194,2.608,1,5,32,59.95,5.19,5708,3595,218,428
apache-kafka,13643,35557,35845,2.606,1,5,32,60.48,4.46,8251,5196,196,429
tsql,11640,30298,30557,2.603,1,4,34,58.93,3.75,6859,4599,182,430
tfs,14609,37943,38280,2.597,1,5,33,59.96,4.32,8760,5615,234,431
oauth-2.0,4263,11072,11175,2.597,1,4,31,55.83,3.92,2380,1809,74,432
input,1667,4318,4395,2.59,1,5,37,53.99,5.16,900,724,43,433
model-view-controller,5482,14187,14332,2.588,1,5,33,56.93,4.34,3121,2282,79,434
qt,33461,86510,87206,2.585,1,6,28,65.44,5.1,21896,11060,505,435
xsd,1517,3917,3955,2.582,1,5,39,60.18,4.81,913,578,26,436
flutter,111087,286537,289963,2.579,0,4,37,49.86,4.18,55385,53135,2567,437
batch-file,34680,89448,90360,2.579,1,3,30,54.89,3.0,19037,15038,605,438
vuejs2,3069,7898,7977,2.573,1,5,31,55.43,5.38,1701,1311,57,439
nlp,4267,10972,11030,2.571,1,5,30,64.38,4.71,2747,1473,47,440
dataframe,2806,7210,7264,2.569,1,4,36,63.11,3.1,1771,992,43,441
web-services,15434,39550,39859,2.563,1,4,34,56.02,4.13,8646,6561,227,442
audio,5106,13067,13186,2.559,1,5,31,60.05,4.48,3066,1951,89,443
.net-core,5012,12781,12903,2.55,1,5,34,56.48,4.69,2831,2086,95,444
scikit-learn,1945,4958,5002,2.549,1,5,29,63.19,4.58,1229,679,37,445
vue.js,40074,102059,103223,2.547,1,4,33,58.26,4.55,23348,15925,801,446
coq,2618,6664,6674,2.545,2,5,12,85.94,1.95,2250,359,9,447
react-native,48412,123113,125060,2.543,0,4,37,49.85,4.76,24131,22980,1301,448
graphql,4712,11945,12047,2.535,1,5,31,59.23,4.73,2791,1842,79,449
database-design,7038,17841,17968,2.535,1,5,28,65.06,3.98,4579,2368,91,450
sql-server-2008,15524,39279,39588,2.53,1,4,31,57.02,3.81,8852,6460,212,451
active-directory,2539,6415,6464,2.527,1,4,27,50.73,2.76,1288,1209,42,452
entity-framework-core,1382,3490,3515,2.525,1,5,27,57.31,4.78,792,565,25,453
ios5,1879,4736,4823,2.52,1,5,31,54.71,5.69,1028,824,27,454
sql,744046,1869419,1888358,2.513,1,4,29,57.84,3.03,430357,300322,13367,455
cloud,1532,3844,3866,2.509,1,3,33,51.24,3.52,785,727,20,456
animation,3812,9504,9576,2.493,1,5,31,57.61,4.28,2196,1571,45,457
terraform,5773,14353,14473,2.486,1,5,31,63.31,4.56,3655,2035,83,458
xhtml,1128,2799,2859,2.481,1,5,26,63.48,4.96,716,377,35,459
apache-spark,30743,76208,77091,2.479,1,5,31,59.3,4.5,18230,11872,641,460
amazon-cloudformation,1059,2624,2644,2.478,1,5,26,63.27,5.48,670,377,12,462
fortran,5775,14310,14456,2.478,2,5,17,77.06,3.24,4450,1238,87,461
sml,1218,2999,3014,2.462,2,5,17,81.94,3.04,998,208,12,463
wcf,21582,53119,53468,2.461,1,5,28,58.47,4.34,12620,8707,255,464
sorting,7845,19296,19469,2.46,1,5,30,61.19,4.13,4800,2925,120,465
email,12807,31451,31759,2.456,1,5,30,54.92,4.2,7034,5555,218,466
aurelia,1286,3151,3172,2.45,1,5,23,70.22,4.12,903,370,13,467
linq-to-sql,3472,8502,8564,2.449,1,4,29,58.24,3.97,2022,1411,39,469
ssrs-2008,1186,2905,2932,2.449,0,4,35,49.58,3.96,588,574,24,468
playframework,3778,9247,9286,2.448,1,5,25,64.19,4.95,2425,1323,30,471
internationalization,1221,2989,3022,2.448,1,5,24,60.93,4.67,744,455,22,470
jquery,616228,1502379,1517034,2.438,1,4,30,54.89,3.45,338245,267100,10883,472
c++11,5150,12542,12674,2.435,1,5,19,66.17,3.11,3408,1662,80,473
windows-8,3392,8244,8308,2.43,1,5,22,61.94,3.6,2101,1240,51,474
elasticsearch,32827,79583,80148,2.424,1,4,30,57.77,4.05,18963,13457,407,475
couchdb,2619,6318,6373,2.412,1,6,21,67.74,4.05,1774,810,35,476
methods,1006,2421,2430,2.407,1,5,20,60.93,3.68,613,384,9,477
arm,2456,5899,5953,2.402,1,5,21,65.96,3.83,1620,795,41,478
cassandra,12286,29490,29716,2.4,1,5,24,68.37,3.83,8400,3721,165,479
hyperlink,1398,3343,3389,2.391,0,4,33,48.78,4.58,682,684,32,480
flask,3649,8715,8838,2.388,1,5,32,51.47,5.12,1878,1695,76,481
keras,3144,7494,7561,2.384,1,5,32,56.36,4.83,1772,1321,51,482
object,2114,5037,5065,2.383,1,4,37,56.29,4.21,1190,903,21,483
reactjs,217875,518589,525398,2.38,1,4,32,52.93,3.8,115330,97765,4780,484
coldfusion,8610,20350,20575,2.364,1,6,15,71.64,3.3,6168,2281,161,485
jsp,12289,28991,29389,2.359,1,4,31,50.45,3.7,6200,5806,283,486
javafx,7880,18565,18797,2.356,1,5,26,62.54,4.26,4928,2778,174,487
scheme,6580,15488,15584,2.354,1,5,17,75.49,3.13,4967,1544,69,488
embedded,3128,7331,7384,2.344,1,5,21,68.57,3.8,2145,943,40,489
mvvm,1872,4386,4413,2.343,1,4,22,61.22,3.79,1146,708,18,490
tensorflow,22973,53799,54311,2.342,1,5,31,56.41,4.36,12959,9637,377,492
opencv,12075,28279,28563,2.342,1,5,26,61.35,4.29,7408,4456,211,491
lucene,3276,7661,7707,2.339,1,5,22,63.1,4.09,2067,1173,36,493
cobol,1377,3214,3234,2.334,1,5,14,72.98,2.03,1005,357,15,494
winapi,8848,20587,20821,2.327,1,5,20,68.38,3.64,6050,2635,163,495
ajax,30707,71251,72058,2.32,1,4,27,51.41,3.37,15786,14339,582,496
nhibernate,11039,25606,25782,2.32,1,5,23,63.61,4.21,7022,3891,126,497
xml,88260,204667,206224,2.319,1,4,25,60.87,3.15,53723,33386,1151,498
c++-cli,1205,2790,2827,2.315,1,5,21,64.73,5.23,780,398,27,499
blazor,2274,5262,5329,2.314,1,5,25,63.94,4.22,1454,765,55,500
