Waiting on bqjob_r3e8e87f9e610d381_0000019c15bc15cf_1 ... (0s) Current status: RUNNING                                                                                      Waiting on bqjob_r3e8e87f9e610d381_0000019c15bc15cf_1 ... (0s) Current status: DONE   
tag,total_answers,total_score,total_positive_score,avg_score,median_score,p90_score,p99_score,pct_positive,pct_high_score_10plus,positive_answers,zero_answers,negative_answers,roi_rank
mongodb,75590,277093,279285,3.666,1,5,52,60.5,6.06,45729,28565,1296,220
julia,6340,23145,23205,3.651,2,7,26,85.82,6.31,5441,865,34,221
performance,27742,101054,101759,3.643,1,7,42,68.13,6.66,18900,8396,446,222
caching,7299,26446,26645,3.623,1,6,45,61.98,6.03,4524,2655,120,223
sass,4788,17333,17489,3.62,1,6,52,59.86,6.75,2866,1814,108,224
binary,2219,7953,8018,3.584,1,6,39,61.42,6.13,1363,818,38,225
oauth,3650,13013,13112,3.565,1,5,55,57.78,5.12,2109,1474,67,226
websocket,2647,9423,9497,3.56,1,6,46,59.24,6.01,1568,1040,39,227
docker-compose,1309,4651,4691,3.553,1,6,68,54.62,6.42,715,564,30,229
laravel-4,1361,4836,4889,3.553,1,6,64,54.08,7.42,736,594,31,228
compilation,1901,6754,6802,3.553,1,6,42,64.18,5.47,1220,648,33,230
python,2822237,10023916,10107196,3.552,1,5,45,61.39,4.89,1732435,1030906,58896,231
debian,1496,5289,5350,3.535,1,5,53,55.88,5.28,836,626,34,232
visual-studio-2015,3994,14084,14189,3.526,1,6,55,58.26,6.96,2327,1584,83,233
class,5309,18704,18814,3.523,1,6,46,63.42,6.27,3367,1866,76,234
ruby-on-rails-3,19248,67774,68127,3.521,1,7,48,61.2,7.14,11779,7241,228,235
ms-word,2281,8027,8076,3.519,1,3,26,52.13,4.08,1189,1057,35,236
operating-system,3418,12020,12122,3.517,1,6,38,63.6,6.29,2174,1190,54,237
jekyll,2672,9396,9438,3.516,1,7,45,65.83,7.82,1759,885,28,238
testing,13339,46839,47147,3.511,1,6,46,62.2,5.5,8297,4851,191,239
amazon-s3,7279,25484,25741,3.501,1,6,50,60.05,7.01,4371,2754,154,240
postman,1847,6456,6499,3.495,1,6,61,54.85,7.15,1013,805,29,241
ios,788728,2752912,2782679,3.49,1,5,49,56.93,5.77,449044,319576,20108,242
build,3577,12482,12563,3.49,1,7,42,64.72,7.3,2315,1212,50,243
delphi,58901,205473,207031,3.488,2,8,23,78.59,7.6,46291,11518,1092,244
c++,1248267,4329445,4370558,3.468,1,6,35,70.25,5.73,876894,345206,26167,245
orm,1879,6513,6548,3.466,1,6,53,64.18,5.53,1206,651,22,246
jvm,1053,3649,3672,3.465,1,6,42,67.52,7.03,711,326,16,247
sed,6654,23013,23138,3.459,1,4,46,63.71,3.77,4239,2332,83,248
dom,1230,4243,4284,3.45,1,6,44,63.33,5.85,779,428,23,249
groovy,11436,39367,39591,3.442,1,6,44,66.86,6.55,7646,3661,129,250
json,99394,341369,344026,3.435,1,4,42,57.48,4.61,57128,40440,1826,251
wpf,82116,281884,283898,3.433,1,6,47,62.47,6.6,51295,29419,1402,252
tdd,1259,4316,4341,3.428,1,8,34,74.74,7.07,941,303,15,253
erlang,8855,30272,30418,3.419,2,7,26,78.72,6.43,6971,1788,96,254
gulp,2754,9414,9491,3.418,1,6,42,57.08,6.28,1572,1131,51,255
android,1538446,5257078,5311738,3.417,1,5,51,52.88,5.67,813493,688363,36590,256
amazon-dynamodb,2371,8090,8181,3.412,1,7,45,62.55,6.45,1483,842,46,257
vector,2074,7063,7113,3.405,1,7,39,70.64,6.56,1465,584,25,258
variables,7132,24223,24363,3.396,1,5,53,62.03,5.58,4424,2610,98,259
artificial-intelligence,2394,8116,8197,3.39,1,7,43,68.84,6.27,1648,699,47,260
continuous-integration,3209,10875,10938,3.389,1,6,43,64.6,6.14,2073,1082,54,261
ansible,14873,50227,50674,3.377,1,6,53,61.32,6.29,9120,5484,269,262
java-8,2373,8004,8043,3.373,1,7,35,71.09,5.9,1687,660,26,264
swift,133638,450800,455553,3.373,1,6,45,60.13,5.69,80361,50070,3207,263
open-source,2553,8597,8670,3.367,2,7,33,74.34,6.85,1898,614,41,265
linq,14574,48914,49176,3.356,1,5,41,63.04,5.13,9188,5212,174,266
perforce,2188,7336,7382,3.353,1,7,33,75.69,6.44,1656,501,31,267
asp.net-mvc,100785,336508,338981,3.339,1,6,47,60.01,5.9,60478,38666,1641,268
perl,80984,270016,272796,3.334,2,7,26,76.95,6.16,62320,16765,1899,269
youtube,2592,8621,8727,3.326,1,6,55,55.02,6.37,1426,1090,76,270
redirect,4148,13791,13909,3.325,0,5,49,49.57,5.04,2056,2007,85,271
geometry,1476,4880,4912,3.306,1,5,39,59.01,4.27,871,586,19,272
layout,2158,7132,7207,3.305,1,6,38,59.41,5.84,1282,842,34,273
smalltalk,1715,5638,5650,3.287,3,7,16,86.24,4.2,1479,230,6,274
google-chrome-extension,4537,14910,15118,3.286,1,7,45,63.26,7.27,2870,1543,124,275
select,2038,6695,6757,3.285,1,5,41,58.68,4.96,1196,808,34,276
domain-driven-design,3386,11121,11163,3.284,1,6,35,72.15,5.64,2443,913,30,277
macros,3642,11946,11991,3.28,2,7,26,74.16,6.48,2701,908,33,278
inno-setup,2739,8970,9033,3.275,2,7,31,78.53,7.19,2151,538,50,279
nunit,1122,3673,3699,3.274,1,6,41,62.12,6.95,697,414,11,280
list,24228,79297,79791,3.273,1,6,36,69.7,5.3,16886,7008,334,281
user-interface,10126,33015,33254,3.26,1,6,32,64.74,5.13,6556,3421,149,282
binding,1151,3747,3761,3.255,1,6,55,61.42,5.91,707,431,13,283
