day_of_week,day_num,total_votes,accepted_answers,upvotes,downvotes,estimated_rep_delta,upvote_to_downvote_ratio,num_days
Sunday,1,299636,12500,240054,47082,2013768,5.1,12
Monday,2,579454,23181,482203,74070,4057199,6.51,13
Tuesday,3,632289,23866,531389,77034,4455034,6.9,13
Wednesday,4,639516,24103,536200,79213,4492719,6.77,13
Thursday,5,622341,24204,521453,76684,4381316,6.8,13
Friday,6,553150,21589,460838,70723,3869093,6.52,13
Saturday,7,315495,13120,250810,51565,2100150,4.86,13
