vote_date,vote_type_id,vote_count
2022-07-17,4,3
2022-07-17,5,1690
2022-07-17,8,41
2022-07-17,9,34
2022-07-17,10,1667
2022-07-17,11,64
2022-07-17,12,8
2022-07-17,15,88
2022-07-17,16,230
2022-07-18,1,1788
2022-07-18,2,37795
2022-07-18,3,5723
2022-07-18,4,3
2022-07-18,5,2886
2022-07-18,8,73
2022-07-18,9,47
2022-07-18,10,2498
2022-07-18,11,126
2022-07-18,12,32
2022-07-18,15,209
2022-07-18,16,254
2022-07-19,1,1935
2022-07-19,2,40647
2022-07-19,3,5808
2022-07-19,4,29
2022-07-19,5,3038
2022-07-19,8,40
2022-07-19,9,63
2022-07-19,10,2727
2022-07-19,11,114
2022-07-19,12,32
2022-07-19,15,344
2022-07-19,16,292
2022-07-20,1,1911
2022-07-20,2,42219
2022-07-20,3,6214
2022-07-20,4,5
2022-07-20,5,3424
2022-07-20,8,51
2022-07-20,9,43
2022-07-20,10,2837
2022-07-20,11,130
2022-07-20,12,44
2022-07-20,15,335
2022-07-20,16,238
2022-07-21,1,1961
2022-07-21,2,40846
2022-07-21,3,5852
2022-07-21,4,2
2022-07-21,5,3182
2022-07-21,8,64
2022-07-21,9,60
2022-07-21,10,2535
2022-07-21,11,121
2022-07-21,12,35
2022-07-21,15,220
2022-07-21,16,300
2022-07-22,1,1737
2022-07-22,2,36510
2022-07-22,3,5541
2022-07-22,4,2
2022-07-22,5,2873
2022-07-22,8,48
2022-07-22,9,41
2022-07-22,10,2572
2022-07-22,11,102
2022-07-22,12,28
2022-07-22,15,219
2022-07-22,16,303
2022-07-23,1,1092
2022-07-23,2,20140
2022-07-23,3,3802
2022-07-23,4,7
2022-07-23,5,1671
2022-07-23,8,39
2022-07-23,9,44
2022-07-23,10,1674
2022-07-23,11,68
2022-07-23,12,26
2022-07-23,15,134
2022-07-23,16,270
2022-07-24,1,1050
2022-07-24,2,20606
2022-07-24,3,3855
2022-07-24,4,1
2022-07-24,5,1746
2022-07-24,8,27
2022-07-24,9,34
2022-07-24,10,1624
2022-07-24,11,60
2022-07-24,12,14
2022-07-24,15,91
2022-07-24,16,265
2022-07-25,1,1842
2022-07-25,2,38404
2022-07-25,3,5934
2022-07-25,4,2
2022-07-25,5,2922
2022-07-25,8,84
2022-07-25,9,46
2022-07-25,10,2696
2022-07-25,11,107
2022-07-25,12,30
2022-07-25,15,229
2022-07-25,16,242
2022-07-26,1,1849
2022-07-26,2,41797
2022-07-26,3,6023
2022-07-26,4,10
2022-07-26,5,3305
2022-07-26,8,41
2022-07-26,9,69
2022-07-26,10,2757
2022-07-26,11,122
2022-07-26,12,24
2022-07-26,15,278
2022-07-26,16,390
2022-07-27,1,2000
2022-07-27,2,42220
2022-07-27,3,6109
2022-07-27,4,7
2022-07-27,5,3156
2022-07-27,8,57
2022-07-27,9,34
2022-07-27,10,2858
2022-07-27,11,113
2022-07-27,12,40
2022-07-27,15,189
2022-07-27,16,326
2022-07-28,1,1923
2022-07-28,2,39905
2022-07-28,3,5811
2022-07-28,4,7
2022-07-28,5,3116
2022-07-28,8,45
2022-07-28,9,63
2022-07-28,10,2438
2022-07-28,11,94
2022-07-28,12,32
2022-07-28,15,279
2022-07-28,16,267
2022-07-29,1,1555
2022-07-29,2,32253
2022-07-29,3,5326
2022-07-29,4,1
2022-07-29,5,2627
2022-07-29,8,39
2022-07-29,9,56
2022-07-29,10,2149
2022-07-29,11,78
2022-07-29,12,40
2022-07-29,15,140
2022-07-29,16,171
2022-07-30,1,1055
2022-07-30,2,19514
2022-07-30,3,4160
2022-07-30,4,2
2022-07-30,5,1668
2022-07-30,8,33
2022-07-30,9,42
2022-07-30,10,1640
2022-07-30,11,88
2022-07-30,12,24
2022-07-30,15,202
2022-07-30,16,188
2022-07-31,1,1056
2022-07-31,2,20686
2022-07-31,3,3832
2022-07-31,4,3
2022-07-31,5,1752
2022-07-31,8,33
2022-07-31,9,43
2022-07-31,10,1695
2022-07-31,11,73
2022-07-31,12,24
2022-07-31,15,97
2022-07-31,16,250
2022-08-01,1,1814
2022-08-01,2,36492
2022-08-01,3,5702
2022-08-01,4,2
2022-08-01,5,2985
2022-08-01,8,64
2022-08-01,9,37
2022-08-01,10,2490
2022-08-01,11,92
2022-08-01,12,39
2022-08-01,15,156
2022-08-01,16,385
2022-08-02,1,1838
2022-08-02,2,41391
2022-08-02,3,5958
2022-08-02,4,6
2022-08-02,5,3238
2022-08-02,8,46
2022-08-02,9,72
2022-08-02,10,2569
2022-08-02,11,132
2022-08-02,12,34
2022-08-02,15,157
2022-08-02,16,426
2022-08-03,1,1881
2022-08-03,2,40320
2022-08-03,3,5585
2022-08-03,4,4
2022-08-03,5,3262
2022-08-03,8,53
2022-08-03,9,46
2022-08-03,10,2522
2022-08-03,11,99
2022-08-03,12,31
2022-08-03,15,295
2022-08-03,16,284
2022-08-04,1,1805
2022-08-04,2,40788
2022-08-04,3,6056
2022-08-04,4,7
