reputation_tier,user_count,pct_of_users,total_reputation,pct_of_total_reputation,avg_upvotes_given,avg_downvotes_given,avg_profile_views,avg_account_age_years,avg_days_since_last_access,median_days_since_access
01_newcomer_1,14323129,76.54,14323129,0.78,0.05,0.11,0.91,7.53,2313.34,2012.0
02_starter_2-15,1399530,7.48,13152912,0.72,0.1,0.0,4.61,9.37,2598.57,2265.0
03_contributor_16-100,1804450,9.64,74971616,4.08,5.85,0.0,9.82,10.34,2544.99,2139.0
04_established_101-500,748872,4.0,164487053,8.96,36.44,0.92,32.77,11.59,2177.22,1603.0
05_trusted_501-2000,298233,1.59,288741670,15.72,150.52,8.45,115.51,12.94,1815.98,1269.0
06_expert_2001-10000,112133,0.6,461125262,25.1,438.77,49.23,410.3,14.14,1621.61,1231.0
07_veteran_10001-50000,22650,0.12,441638399,24.04,1161.42,280.08,1803.18,15.2,1474.86,1227.0
08_legend_50000+,3215,0.02,378362181,20.6,3359.73,1821.5,13176.76,15.86,1374.82,1226.0
