voting_segment,user_count,pct_of_users,avg_reputation,median_reputation,p75_reputation,p90_reputation,p99_reputation,max_reputation,total_reputation_contribution,avg_profile_views,avg_account_age_years
0_no_votes,16860214,90.1,6.7,1.0,1.0,11.0,95.0,91105,113017319,1.75,7.91
1_1-10_votes,952691,5.09,144.39,61.0,123.0,307.0,1325.0,635701,137556443,20.63,10.37
2_11-50_votes,489512,2.62,447.52,173.0,459.0,955.0,4031.0,147097,219066855,52.64,11.51
3_51-200_votes,248989,1.33,1265.42,549.0,1285.0,2822.0,11445.0,277581,315075329,132.02,12.5
4_201-1000_votes,127456,0.68,3775.84,1435.0,3735.0,8648.0,36089.0,823416,481253322,375.68,13.28
5_1000+_votes,33350,0.18,17116.43,4765.0,14402.0,38224.0,199125.0,1357603,570832954,2092.33,13.95
