cohort,total_users_in_cohort,users_who_answered_first_90d,pct_users_who_answered_first_90d,avg_answers_first_90d,avg_answer_length_first_90d,avg_score_first_90d,avg_positive_rate_first_90d_pct,avg_acceptance_rate_first_90d_pct,users_with_10plus_answers_first_90d,pct_with_10plus_first_90d
power_user_top1pct,187183,108195,57.8,19.15,697.0,14.177,62.7,28.73,38583,35.66
average_user_1_100rep,17527109,1102030,6.29,1.38,636.0,0.73,39.89,14.26,4000,0.36
