cohort,user_count,avg_reputation,min_reputation,max_reputation,avg_answers_per_user,total_answers,avg_answer_length_chars,avg_score_per_answer,avg_positive_rate_pct,avg_acceptance_rate_pct,total_score_generated
power_user_top1pct,187183,7285.662837971398,1419,1357603,118.48,22177748,785.0,10.316,61.89,34.16,88478160
average_user_1_100rep,17527109,5.845097271888931,1,100,0.2,3475476,645.0,0.665,37.52,15.38,2055941
