Waiting on bqjob_r181fa1b159a51e4_0000019c16f66a0f_1 ... (0s) Current status: RUNNING                                                                                     Waiting on bqjob_r181fa1b159a51e4_0000019c16f66a0f_1 ... (0s) Current status: DONE   
cohort_year,users,avg_answers,avg_total_score,avg_score_per_answer,median_total_score,median_score_per_answer,pct_100_plus_score,pct_200_plus_score
2008,2950,14.065084745762713,151.93966101694912,10.810769569812622,61,4.454545454545454,33.559322033898304,16.88135593220339
2009,5312,13.955195783132531,81.36483433734941,5.744835621575504,36,2.5833333333333335,17.601656626506024,7.266566265060241
2010,6064,13.964050131926118,61.27275725593666,4.388091778129332,28,2.0,12.763852242744065,5.375989445910291
2011,8554,13.934650455927056,50.656301145662844,3.626202722378113,24,1.7222222222222223,9.866729015665186,3.951367781155015
2012,10445,13.815222594542847,40.96524652943993,2.9801201443354532,19,1.4,7.573001436093825,2.948779320248923
2013,10534,13.755553445984427,30.774824378203906,2.2492265302123005,15,1.0909090909090908,5.439529143725081,1.7467248908296942
2014,8487,13.749027925061858,25.40084835630965,1.8662153234316463,12,0.9,4.0650406504065035,1.3667962766584187
2015,7924,13.666961130742056,21.935890964159515,1.60684712291041,12,0.8666666666666667,3.054013124684503,0.7445734477536597
2016,7246,13.723571625724537,20.196522219155383,1.4709228094465192,10,0.75,2.553132762903671,0.8694452111509798
2017,5709,13.717463653879838,17.210895077947097,1.2626476028681324,10,0.7272727272727273,1.6465230338062706,0.4729374671571204
2018,4448,13.571942446043165,17.11061151079136,1.2709397100190367,10,0.7368421052631579,1.8435251798561152,0.49460431654676257
2019,4064,13.575295275590552,13.436761811023624,0.996003381751735,9,0.6666666666666666,0.639763779527559,0.17224409448818898
2020,4115,13.485054678007288,10.839125151883351,0.8011341321898109,8,0.5833333333333334,0.4131227217496963,0.024301336573511544
