cohort,users_with_10k_rep,avg_years_to_milestone,median_years,p25_years,p75_years,avg_current_reputation,pct_reached_in_1_year,pct_reached_in_3_years
2008,3647,1.71,1.0,0.0,2.0,45129.0,63.8,85.7
2009,4885,2.17,1.0,1.0,3.0,38174.0,50.4,79.2
2010,4153,2.52,2.0,1.0,4.0,32398.0,45.0,74.0
2011,3748,2.59,2.0,1.0,4.0,29920.0,41.1,71.9
2012-2013,4002,2.7,2.0,1.0,4.0,30069.0,38.2,68.7
2014-2015,1283,2.53,2.0,1.0,4.0,31275.0,33.0,73.0
2016-2017,491,2.19,2.0,1.0,3.0,32315.0,37.5,77.8
2018+,180,1.42,1.0,1.0,2.0,35008.0,62.2,93.3
