upvote_bucket,post_count,total_upvotes,total_downvotes,total_accepted,pct_of_posts,pct_of_upvotes
0,466318,0,386477,53424,21.23,0.0
1,1279277,1279277,59998,56207,58.24,42.79
2-5,393645,1016836,21618,30223,17.92,34.01
6-10,37826,277914,1910,1025,1.72,9.3
11-25,15753,238514,1255,150,0.72,7.98
26-50,2884,98242,376,27,0.13,3.29
51-100,811,53931,178,14,0.04,1.8
100+,165,24685,81,1,0.01,0.83
